type,city,code,scode,name,lon,lat,area
neighborhood,CaSanSAN,SanRED,34,Redwood Village/Rolando Park,-117.0613359,32.7485376,27193031.78
neighborhood,CaSanSAN,SanRID,16,Ridgeview/Webster,-117.0933239,32.72548821,26573118.13
neighborhood,CaSanSAN,SanROL,93,Rolando,-117.0571306,32.76217268,23413131.53
neighborhood,CaSanSAN,SanROS,25,Roseville / Fleet Ridge,-117.2333499,32.7274082,25338203.83
neighborhood,CaSanSAN,SanSAB,124,Sabre Springs,-117.0877174,32.94828707,69422823.72
neighborhood,CaSanSAN,SanSNC,38,San Carlos,-117.0527707,32.80474005,104200047.3
neighborhood,CaSanSAN,SanSAN,67,San Pasqual,-116.9935742,33.08470317,379534182.1
neighborhood,CaSanSAN,SanSNS,57,San Ysidro,-117.0482476,32.55602777,79338630.99
neighborhood,CaSanSAN,SanSCR,83,Scripps Ranch,-117.0633155,32.88884256,850118746
neighborhood,CaSanSAN,SanSER,21,Serra Mesa,-117.1345642,32.7955264,113095069.8
neighborhood,CaSanSAN,SanSHE,77,Shelltown,-117.1075718,32.68659551,7230717.54
neighborhood,CaSanSAN,SanSHR,28,Sherman Heights,-117.1439845,32.70979652,5784907.14
neighborhood,CaSanSAN,SanSKL,52,Skyline,-117.0402294,32.70592499,27539178.91
neighborhood,CaSanSAN,SanSOR,20,Sorrento Valley,-117.1905982,32.89822115,223003023
neighborhood,CaSanSAN,SanSOU,8,South Park,-117.1267338,32.72352285,16517768.28
neighborhood,CaSanSAN,SanSTH,10,Southcrest,-117.1115484,32.69271989,13486912.97
neighborhood,CaSanSAN,SanSTO,30,Stockton,-117.1240984,32.71121577,10656197.24
neighborhood,CaSanSAN,SanSUN,40,Sunset Cliffs,-117.251765,32.72746333,15494731.39
neighborhood,CaSanSAN,SanSWA,47,Swan Canyon,-117.0972749,32.7357599,8259219.142
neighborhood,CaSanSAN,SanTAL,92,Talmadge,-117.0910768,32.76250619,24823327.54
neighborhood,CaSanSAN,SanTER,14,Teralta East,-117.0963994,32.75254302,5692403.669
neighborhood,CaSanSAN,SanTRL,11,Teralta West,-117.1047993,32.75239893,4868217.226
neighborhood,CaSanSAN,SanTIR,82,Tierrasanta,-117.0664786,32.8399628,405131534.6
neighborhood,CaSanSAN,SanTIJ,56,Tijuana River Valley,-117.0881639,32.54770279,150263717
neighborhood,CaSanSAN,SanTRR,2,Torrey Highlands,-117.157142,32.96648604,62115946.87
neighborhood,CaSanSAN,SanTOR,71,Torrey Pines,-117.2410011,32.89150938,109224800.5
neighborhood,CaSanSAN,SanTRV,109,Torrey Preserve,-117.2460566,32.91938534,65628645.44
neighborhood,CaSanSAN,SanNUV,54,University City,-117.211808,32.86359013,206540540
neighborhood,CaSanSAN,SanUIN,101,University Heights,-117.1483545,32.75781114,31006361.19
neighborhood,CaSanSAN,SanVAL,79,Valencia Park,-117.0774458,32.70151499,29869836.62
neighborhood,CaSanSAN,SanWOD,41,Wooded Area,-117.2457074,32.69663831,80766555.81
